id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
45,"Pengetahuan Umum","sedang","Apa nama menara jam terkenal di Bukittinggi?","Jam Gadang","Monas","Tugu Muda","Jembatan Ampera","A","Jam Gadang adalah ikon Kota Bukittinggi.",""
46,"Pengetahuan Umum","sulit","Apa nama jembatan terkenal di Palembang?","Jembatan Ampera","Jembatan Suramadu","Jembatan Barito","Jembatan Merah","A","Jembatan Ampera adalah ikon Kota Palembang.",""
47,"Pengetahuan Umum","sulit","Apa nama jembatan yang menghubungkan Surabaya dan Madura?","Jembatan Suramadu","Jembatan Ampera","Jembatan Barito","Jembatan Merah","A","Jembatan Suramadu menghubungkan Surabaya dengan Pulau Madura.",""
48,"Pengetahuan Umum","sulit","Apa nama candi Buddha besar di Magelang?","Borobudur","Prambanan","Mendut","Penataran","A","Borobudur adalah candi Buddha besar yang terletak di Magelang.",""
49,"Pengetahuan Umum","sulit","Apa nama candi Hindu terkenal di Yogyakarta?","Prambanan","Borobudur","Mendut","Muaro Jambi","A","Prambanan adalah kompleks candi Hindu terkenal di wilayah Yogyakarta dan Jawa Tengah.",""
50,"Pengetahuan Umum","sulit","Apa semboyan negara Indonesia?","Bhinneka Tunggal Ika","Tut Wuri Handayani","Merdeka Belajar","Jalesveva Jayamahe","A","Semboyan negara Indonesia adalah Bhinneka Tunggal Ika.",""
51,"Sains","mudah","Organ tubuh apa yang memompa darah ke seluruh tubuh?","Jantung","Paru-paru","Lambung","Ginjal","A","Jantung berfungsi memompa darah ke seluruh tubuh.",""
52,"Sains","mudah","Organ tubuh apa yang digunakan manusia untuk bernapas?","Paru-paru","Jantung","Hati","Usus","A","Paru-paru adalah organ utama dalam sistem pernapasan manusia.",""
53,"Sains","mudah","Zat hijau daun yang membantu fotosintesis disebut apa?","Klorofil","Hemoglobin","Melanin","Enzim","A","Klorofil membantu tumbuhan menangkap cahaya untuk fotosintesis.",""
54,"Sains","mudah","Rumus kimia air adalah apa?","H2O","CO2","O2","NaCl","A","Air tersusun dari dua atom hidrogen dan satu atom oksigen.",""
55,"Sains","mudah","Gas yang dibutuhkan manusia untuk bernapas adalah apa?","Oksigen","Nitrogen","Helium","Metana","A","Manusia membutuhkan oksigen untuk proses pernapasan.",""
56,"Sains","mudah","Gas yang paling banyak terdapat di atmosfer Bumi adalah apa?","Nitrogen","Oksigen","Karbon dioksida","Hidrogen","A","Nitrogen merupakan gas paling banyak di atmosfer Bumi.",""
57,"Sains","mudah","Pusat tata surya kita adalah apa?","Matahari","Bulan","Bumi","Jupiter","A","Matahari adalah bintang yang menjadi pusat tata surya.",""
58,"Sains","mudah","Planet terbesar di tata surya adalah apa?","Jupiter","Mars","Venus","Merkurius","A","Jupiter adalah planet terbesar di tata surya.",""
59,"Sains","mudah","Planet yang dikenal sebagai planet merah adalah apa?","Mars","Saturnus","Bumi","Neptunus","A","Mars tampak kemerahan karena kandungan oksida besi di permukaannya.",""
60,"Sains","mudah","Benda langit yang mengelilingi planet disebut apa?","Satelit","Komet","Asteroid","Meteor","A","Satelit adalah benda langit yang mengorbit planet.",""
61,"Sains","mudah","Alat untuk mengukur suhu disebut apa?","Termometer","Barometer","Higrometer","Anemometer","A","Termometer digunakan untuk mengukur suhu.",""
62,"Sains","mudah","Alat untuk mengukur tekanan udara disebut apa?","Barometer","Termometer","Mikroskop","Kompas","A","Barometer digunakan untuk mengukur tekanan udara.",""
63,"Sains","mudah","Alat untuk melihat benda kecil disebut apa?","Mikroskop","Teleskop","Kompas","Barometer","A","Mikroskop digunakan untuk mengamati benda yang sangat kecil.",""
64,"Sains","mudah","Alat untuk melihat benda jauh di langit disebut apa?","Teleskop","Mikroskop","Termometer","Higrometer","A","Teleskop digunakan untuk mengamati benda langit yang jauh.",""
65,"Sains","mudah","Perubahan wujud dari cair menjadi gas disebut apa?","Menguap","Membeku","Mencair","Mengembun","A","Menguap adalah perubahan zat cair menjadi gas.",""
66,"Sains","mudah","Perubahan wujud dari gas menjadi cair disebut apa?","Mengembun","Menyublim","Menguap","Membeku","A","Mengembun adalah perubahan gas menjadi cair.",""
67,"Sains","mudah","Perubahan wujud dari cair menjadi padat disebut apa?","Membeku","Menguap","Mencair","Menyublim","A","Membeku adalah perubahan zat cair menjadi padat.",""
68,"Sains","mudah","Perubahan wujud dari padat menjadi cair disebut apa?","Mencair","Membeku","Mengembun","Menyublim","A","Mencair adalah perubahan zat padat menjadi cair.",""
69,"Sains","mudah","Bagian tumbuhan yang menyerap air dari tanah adalah apa?","Akar","Daun","Bunga","Buah","A","Akar menyerap air dan mineral dari tanah.",""
70,"Sains","mudah","Bagian tumbuhan tempat fotosintesis banyak terjadi adalah apa?","Daun","Akar","Batang","Buah","A","Daun memiliki klorofil yang mendukung fotosintesis.",""
71,"Sains","sedang","Hewan pemakan tumbuhan disebut apa?","Herbivora","Karnivora","Omnivora","Insektivora","A","Herbivora adalah hewan pemakan tumbuhan.",""
72,"Sains","sedang","Hewan pemakan daging disebut apa?","Karnivora","Herbivora","Omnivora","Detritivora","A","Karnivora adalah hewan pemakan daging.",""
73,"Sains","sedang","Hewan pemakan tumbuhan dan daging disebut apa?","Omnivora","Herbivora","Karnivora","Produsen","A","Omnivora memakan tumbuhan dan hewan.",""
74,"Sains","sedang","Proses pengikisan tanah oleh air atau angin disebut apa?","Erosi","Sedimentasi","Evaporasi","Kondensasi","A","Erosi adalah pengikisan permukaan tanah atau batuan.",""
75,"Sains","sedang","Lapisan udara yang menyelimuti Bumi disebut apa?","Atmosfer","Hidrosfer","Litosfer","Biosfer","A","Atmosfer adalah lapisan gas yang menyelimuti Bumi.",""
76,"Sains","sedang","Lapisan air di permukaan Bumi disebut apa?","Hidrosfer","Atmosfer","Litosfer","Mantel","A","Hidrosfer mencakup seluruh air di Bumi.",""
77,"Sains","sedang","Batuan cair panas di dalam Bumi disebut apa?","Magma","Lava","Humus","Kristal","A","Magma adalah batuan cair panas yang berada di bawah permukaan Bumi.",""
78,"Sains","sedang","Magma yang keluar ke permukaan Bumi disebut apa?","Lava","Magma","Tanah liat","Mineral","A","Lava adalah magma yang sudah keluar ke permukaan Bumi.",""
79,"Sains","sedang","Satuan gaya dalam SI adalah apa?","Newton","Joule","Watt","Pascal","A","Gaya dalam SI diukur dengan satuan Newton.",""
80,"Sains","sedang","Satuan energi dalam SI adalah apa?","Joule","Ampere","Meter","Newton","A","Energi dalam SI diukur dengan satuan Joule.",""
81,"Sains","sedang","Satuan arus listrik dalam SI adalah apa?","Ampere","Volt","Ohm","Watt","A","Arus listrik diukur dalam satuan Ampere.",""
82,"Sains","sedang","Satuan hambatan listrik adalah apa?","Ohm","Volt","Ampere","Joule","A","Hambatan listrik diukur dalam satuan Ohm.",""
83,"Sains","sedang","Satuan tegangan listrik adalah apa?","Volt","Ohm","Ampere","Newton","A","Tegangan listrik diukur dalam satuan Volt.",""
84,"Sains","sedang","Air murni membeku pada suhu berapa derajat Celsius?","0","25","50","100","A","Pada tekanan normal, air murni membeku pada 0 derajat Celsius.",""
85,"Sains","sedang","Air mendidih pada suhu berapa derajat Celsius pada tekanan normal?","100","0","50","75","A","Pada tekanan normal, air mendidih pada 100 derajat Celsius.",""
86,"Sains","sedang","Gaya yang menarik benda ke pusat Bumi disebut apa?","Gravitasi","Gesekan","Magnet","Pegas","A","Gravitasi adalah gaya tarik yang membuat benda jatuh ke Bumi.",""
87,"Sains","sedang","Benda yang dapat menarik besi disebut apa?","Magnet","Karet","Kaca","Kayu","A","Magnet dapat menarik benda tertentu seperti besi.",""
88,"Sains","sedang","Sumber energi utama bagi Bumi adalah apa?","Matahari","Bulan","Angin","Batu bara","A","Matahari adalah sumber energi utama bagi kehidupan di Bumi.",""
89,"Sains","sedang","Proses tumbuhan membuat makanan sendiri disebut apa?","Fotosintesis","Respirasi","Evaporasi","Fermentasi","A","Fotosintesis adalah proses tumbuhan membuat makanan dengan bantuan cahaya.",""
90,"Sains","sedang","Makhluk hidup yang dapat membuat makanan sendiri disebut apa?","Produsen","Konsumen","Pengurai","Predator","A","Produsen seperti tumbuhan dapat membuat makanan sendiri.",""
91,"Sains","sulit","Makhluk hidup yang menguraikan sisa organisme disebut apa?","Pengurai","Produsen","Herbivora","Parasit","A","Pengurai membantu menguraikan sisa makhluk hidup menjadi unsur sederhana.",""
92,"Sains","sulit","Hubungan makan dan dimakan secara berurutan disebut apa?","Rantai makanan","Siklus air","Jaring listrik","Piramida warna","A","Rantai makanan menunjukkan urutan perpindahan energi melalui makan dan dimakan.",""
93,"Sains","sulit","Kumpulan beberapa rantai makanan yang saling berhubungan disebut apa?","Jaring-jaring makanan","Fotosintesis","Ekosistem buatan","Perubahan wujud","A","Jaring-jaring makanan terdiri dari beberapa rantai makanan yang saling terkait.",""
94,"Sains","sulit","Lingkungan tempat makhluk hidup tinggal disebut apa?","Habitat","Populasi","Komunitas","Individu","A","Habitat adalah tempat tinggal alami makhluk hidup.",""
95,"Sains","sulit","Kumpulan individu sejenis di suatu tempat disebut apa?","Populasi","Komunitas","Habitat","Ekosistem","A","Populasi adalah kumpulan makhluk hidup sejenis pada wilayah tertentu.",""
96,"Sains","sulit","Kumpulan berbagai populasi yang hidup bersama disebut apa?","Komunitas","Individu","Habitat","Organ","A","Komunitas terdiri dari berbagai populasi yang hidup di area yang sama.",""
97,"Sains","sulit","Hubungan antara makhluk hidup dan lingkungannya disebut apa?","Ekosistem","Organisme","Atmosfer","Mineral","A","Ekosistem mencakup makhluk hidup dan lingkungan fisiknya.",""
98,"Sains","sulit","Proses perputaran air di alam disebut apa?","Siklus air","Rantai makanan","Fotosintesis","Erosi tanah","A","Siklus air menjelaskan pergerakan air melalui penguapan, awan, hujan, dan aliran.",""
99,"Sains","sulit","Penguapan air dari permukaan laut disebut apa?","Evaporasi","Kondensasi","Presipitasi","Infiltrasi","A","Evaporasi adalah proses penguapan air menjadi uap air.",""
100,"Sains","sulit","Turunnya air dari awan ke permukaan Bumi disebut apa?","Presipitasi","Evaporasi","Kondensasi","Transpirasi","A","Presipitasi adalah jatuhnya air dari atmosfer seperti hujan.",""
101,"Matematika","mudah","Berapakah hasil 12 + 8?","20","18","22","24","A","12 + 8 = 20.",""
102,"Matematika","mudah","Berapakah hasil 15 + 9?","24","21","25","26","A","15 + 9 = 24.",""
103,"Matematika","mudah","Berapakah hasil 27 + 13?","40","37","41","44","A","27 + 13 = 40.",""
104,"Matematika","mudah","Berapakah hasil 35 + 18?","53","50","55","57","A","35 + 18 = 53.",""
105,"Matematika","mudah","Berapakah hasil 46 + 29?","75","72","76","79","A","46 + 29 = 75.",""
106,"Matematika","mudah","Berapakah hasil 80 - 25?","55","45","50","60","A","80 - 25 = 55.",""
107,"Matematika","mudah","Berapakah hasil 92 - 37?","55","49","56","61","A","92 - 37 = 55.",""
108,"Matematika","mudah","Berapakah hasil 120 - 45?","75","65","70","85","A","120 - 45 = 75.",""
109,"Matematika","mudah","Berapakah hasil 64 - 19?","45","42","47","49","A","64 - 19 = 45.",""
110,"Matematika","mudah","Berapakah hasil 100 - 68?","32","28","34","42","A","100 - 68 = 32.",""
111,"Matematika","mudah","Berapakah hasil 6 x 7?","42","36","40","48","A","6 x 7 = 42.",""
112,"Matematika","mudah","Berapakah hasil 8 x 9?","72","64","70","81","A","8 x 9 = 72.",""
113,"Matematika","mudah","Berapakah hasil 12 x 5?","60","55","65","70","A","12 x 5 = 60.",""
114,"Matematika","mudah","Berapakah hasil 11 x 6?","66","60","67","72","A","11 x 6 = 66.",""
115,"Matematika","mudah","Berapakah hasil 9 x 9?","81","72","80","90","A","9 x 9 = 81.",""
116,"Matematika","mudah","Berapakah hasil 48 : 6?","8","6","7","9","A","Karena 6 x 8 = 48, maka 48 : 6 = 8.",""
117,"Matematika","mudah","Berapakah hasil 63 : 7?","9","8","10","11","A","Karena 7 x 9 = 63, maka 63 : 7 = 9.",""
118,"Matematika","mudah","Berapakah hasil 81 : 9?","9","7","8","10","A","Karena 9 x 9 = 81, maka 81 : 9 = 9.",""
119,"Matematika","mudah","Berapakah hasil 100 : 10?","10","5","20","15","A","100 : 10 = 10.",""
120,"Matematika","mudah","Berapakah hasil 144 : 12?","12","10","11","14","A","Karena 12 x 12 = 144, maka 144 : 12 = 12.",""
121,"Matematika","sedang","Berapakah 10% dari 200?","20","10","30","40","A","10% dari 200 adalah 20.",""
122,"Matematika","sedang","Berapakah 25% dari 80?","20","15","25","30","A","25% sama dengan seperempat, jadi 25% dari 80 adalah 20.",""
123,"Matematika","sedang","Berapakah 50% dari 90?","45","40","50","55","A","50% berarti setengah, jadi 50% dari 90 adalah 45.",""
124,"Matematika","sedang","Berapakah 75% dari 120?","90","80","100","95","A","75% dari 120 adalah 90.",""
125,"Matematika","sedang","Berapakah 20% dari 150?","30","20","25","35","A","20% dari 150 adalah 30.",""
126,"Matematika","sedang","Sebuah persegi memiliki sisi 8 cm. Berapa luasnya?","64 cm2","32 cm2","16 cm2","72 cm2","A","Luas persegi adalah sisi x sisi, yaitu 8 x 8 = 64 cm2.",""
127,"Matematika","sedang","Persegi panjang memiliki panjang 12 cm dan lebar 5 cm. Berapa luasnya?","60 cm2","34 cm2","50 cm2","72 cm2","A","Luas persegi panjang adalah panjang x lebar, yaitu 12 x 5 = 60 cm2.",""
128,"Matematika","sedang","Persegi panjang memiliki panjang 10 cm dan lebar 7 cm. Berapa kelilingnya?","34 cm","70 cm","17 cm","24 cm","A","Keliling persegi panjang adalah 2 x (10 + 7) = 34 cm.",""
129,"Matematika","sedang","Segitiga memiliki alas 10 cm dan tinggi 6 cm. Berapa luasnya?","30 cm2","60 cm2","16 cm2","40 cm2","A","Luas segitiga adalah alas x tinggi : 2, yaitu 10 x 6 : 2 = 30 cm2.",""
130,"Matematika","sedang","Lingkaran memiliki jari-jari 7 cm. Dengan pi 22/7, berapa kelilingnya?","44 cm","49 cm","154 cm","22 cm","A","Keliling lingkaran adalah 2 x pi x r = 2 x 22/7 x 7 = 44 cm.",""
131,"Matematika","sedang","Lanjutkan pola 2, 4, 6, 8, ...","10","9","12","14","A","Pola bertambah 2, jadi bilangan berikutnya adalah 10.",""
132,"Matematika","sedang","Lanjutkan pola 3, 6, 9, 12, ...","15","14","16","18","A","Pola bertambah 3, jadi bilangan berikutnya adalah 15.",""
133,"Matematika","sedang","Lanjutkan pola 5, 10, 15, 20, ...","25","22","24","30","A","Pola bertambah 5, jadi bilangan berikutnya adalah 25.",""
134,"Matematika","sedang","Lanjutkan pola 4, 8, 16, 32, ...","64","48","60","72","A","Pola dikali 2, jadi bilangan berikutnya adalah 64.",""
135,"Matematika","sedang","Lanjutkan pola 1, 3, 6, 10, ...","15","12","14","16","A","Selisihnya bertambah 1, yaitu 2, 3, 4, lalu 5 sehingga hasilnya 15.",""
136,"Matematika","sedang","Berapakah nilai 3 pangkat 2?","9","6","8","12","A","3 pangkat 2 berarti 3 x 3 = 9.",""
137,"Matematika","sedang","Berapakah nilai 5 pangkat 2?","25","10","20","15","A","5 pangkat 2 berarti 5 x 5 = 25.",""
138,"Matematika","sedang","Berapakah akar kuadrat dari 49?","7","6","8","9","A","Akar kuadrat dari 49 adalah 7 karena 7 x 7 = 49.",""
139,"Matematika","sedang","Berapakah akar kuadrat dari 64?","8","6","7","9","A","Akar kuadrat dari 64 adalah 8 karena 8 x 8 = 64.",""
140,"Matematika","sedang","Berapakah hasil 2/4 disederhanakan?","1/2","2/3","1/4","3/4","A","2/4 dapat dibagi 2 menjadi 1/2.",""
141,"Matematika","sulit","Berapakah hasil 1/2 + 1/4?","3/4","2/6","1/6","1/8","A","1/2 sama dengan 2/4, sehingga 2/4 + 1/4 = 3/4.",""
142,"Matematika","sulit","Berapakah hasil 3/5 + 1/5?","4/5","3/10","2/5","5/5","A","Penyebut sama, jadi pembilang dijumlahkan: 3/5 + 1/5 = 4/5.",""
143,"Matematika","sulit","Berapakah hasil 7/8 - 3/8?","4/8","3/8","5/8","10/8","A","Penyebut sama, jadi 7/8 - 3/8 = 4/8.",""
144,"Matematika","sulit","Jika x + 5 = 12, berapakah x?","7","5","6","8","A","x = 12 - 5, jadi x = 7.",""
145,"Matematika","sulit","Jika 2x = 18, berapakah x?","9","8","10","16","A","x = 18 : 2, jadi x = 9.",""
146,"Matematika","sulit","Jika 3x + 2 = 17, berapakah x?","5","4","6","7","A","3x = 15, sehingga x = 5.",""
147,"Matematika","sulit","Rata-rata dari 6, 8, dan 10 adalah berapa?","8","7","9","10","A","Jumlahnya 24 dan dibagi 3 menghasilkan rata-rata 8.",""
148,"Matematika","sulit","Rata-rata dari 12, 14, 16, dan 18 adalah berapa?","15","14","16","17","A","Jumlahnya 60 dan dibagi 4 menghasilkan rata-rata 15.",""
149,"Matematika","sulit","Sebuah barang harga awalnya 100000 dan diskon 10%. Berapa besar diskonnya?","10000","5000","15000","20000","A","10% dari 100000 adalah 10000.",""
150,"Matematika","sulit","Sebuah barang harga awalnya 200000 dan diskon 25%. Berapa harga setelah diskon?","150000","175000","125000","160000","A","Diskon 25% dari 200000 adalah 50000, sehingga harga akhir 150000.",""
151,"Bahasa Indonesia","mudah","Apa sinonim kata cepat?","Lekas","Lambat","Jauh","Gelap","A","Sinonim adalah kata yang bermakna mirip. Cepat bersinonim dengan lekas.",""
152,"Bahasa Indonesia","mudah","Apa sinonim kata pandai?","Cerdas","Malas","Ragu","Kasar","A","Pandai memiliki makna mirip dengan cerdas.",""
153,"Bahasa Indonesia","mudah","Apa sinonim kata indah?","Elok","Buruk","Kotor","Tinggi","A","Indah memiliki makna mirip dengan elok.",""
154,"Bahasa Indonesia","mudah","Apa sinonim kata rajin?","Tekun","Malas","Bising","Lemah","A","Rajin memiliki makna mirip dengan tekun.",""
155,"Bahasa Indonesia","mudah","Apa sinonim kata sulit?","Sukar","Mudah","Ringan","Dekat","A","Sulit memiliki makna mirip dengan sukar.",""
156,"Bahasa Indonesia","mudah","Apa antonim kata tinggi?","Rendah","Besar","Panjang","Kuat","A","Antonim adalah lawan kata. Lawan kata tinggi adalah rendah.",""
157,"Bahasa Indonesia","mudah","Apa antonim kata panas?","Dingin","Hangat","Terik","Cerah","A","Lawan kata panas adalah dingin.",""
158,"Bahasa Indonesia","mudah","Apa antonim kata terang?","Gelap","Cerah","Putih","Nyala","A","Lawan kata terang adalah gelap.",""
159,"Bahasa Indonesia","mudah","Apa antonim kata cepat?","Lambat","Lekas","Segera","Singkat","A","Lawan kata cepat adalah lambat.",""
160,"Bahasa Indonesia","mudah","Apa antonim kata dekat?","Jauh","Rapat","Samping","Dalam","A","Lawan kata dekat adalah jauh.",""
161,"Bahasa Indonesia","mudah","Kalimat tanya diakhiri dengan tanda apa?","Tanda tanya","Tanda titik","Tanda koma","Tanda petik","A","Kalimat tanya diakhiri dengan tanda tanya.",""
162,"Bahasa Indonesia","mudah","Kalimat berita umumnya diakhiri dengan tanda apa?","Tanda titik","Tanda tanya","Tanda seru","Tanda petik","A","Kalimat berita umumnya diakhiri dengan tanda titik.",""
163,"Bahasa Indonesia","mudah","Kalimat seruan kuat dapat diakhiri dengan tanda apa?","Tanda seru","Tanda koma","Tanda titik","Tanda hubung","A","Tanda seru digunakan untuk kalimat seruan atau perintah yang kuat.",""
164,"Bahasa Indonesia","mudah","Rincian dalam kalimat sering dipisahkan dengan tanda apa?","Tanda koma","Tanda petik","Tanda tanya","Tanda hubung","A","Tanda koma dapat memisahkan unsur-unsur rincian.",""
