id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
513,"Bahasa Inggris","mudah","Apa arti kata green dalam bahasa Indonesia?","Hijau","Kuning","Cokelat","Ungu","A","Green berarti hijau dalam bahasa Indonesia.",""
514,"Bahasa Inggris","mudah","Apa arti kata white dalam bahasa Indonesia?","Putih","Hitam","Abu-abu","Merah","A","White berarti putih dalam bahasa Indonesia.",""
515,"Bahasa Inggris","mudah","Apa arti kata black dalam bahasa Indonesia?","Hitam","Putih","Biru","Hijau","A","Black berarti hitam dalam bahasa Indonesia.",""
516,"Bahasa Inggris","mudah","Apa arti kata one dalam bahasa Indonesia?","Satu","Dua","Tiga","Empat","A","One berarti satu dalam bahasa Indonesia.",""
517,"Bahasa Inggris","mudah","Apa arti kata two dalam bahasa Indonesia?","Dua","Satu","Tiga","Lima","A","Two berarti dua dalam bahasa Indonesia.",""
518,"Bahasa Inggris","mudah","Apa arti kata three dalam bahasa Indonesia?","Tiga","Empat","Dua","Enam","A","Three berarti tiga dalam bahasa Indonesia.",""
519,"Bahasa Inggris","mudah","Apa arti kata morning dalam bahasa Indonesia?","Pagi","Siang","Sore","Malam","A","Morning berarti pagi dalam bahasa Indonesia.",""
520,"Bahasa Inggris","mudah","Apa arti kata night dalam bahasa Indonesia?","Malam","Pagi","Siang","Sore","A","Night berarti malam dalam bahasa Indonesia.",""
521,"Bahasa Inggris","sedang","Apa bentuk plural dari child?","Children","Childs","Childes","Childrens","A","Bentuk jamak tidak beraturan dari child adalah children.",""
522,"Bahasa Inggris","sedang","Apa bentuk plural dari tooth?","Teeth","Tooths","Toothes","Toothen","A","Bentuk jamak tidak beraturan dari tooth adalah teeth.",""
523,"Bahasa Inggris","sedang","Apa bentuk plural dari foot?","Feet","Foots","Footes","Feets","A","Bentuk jamak tidak beraturan dari foot adalah feet.",""
524,"Bahasa Inggris","sedang","Apa bentuk past tense dari go?","Went","Goed","Gone","Going","A","Past tense dari go adalah went.",""
525,"Bahasa Inggris","sedang","Apa bentuk past tense dari eat?","Ate","Eated","Eaten","Eating","A","Past tense dari eat adalah ate.",""
526,"Bahasa Inggris","sedang","Apa bentuk past tense dari see?","Saw","Seed","Seen","Seeing","A","Past tense dari see adalah saw.",""
527,"Bahasa Inggris","sedang","Apa bentuk past tense dari write?","Wrote","Written","Writed","Writing","A","Past tense dari write adalah wrote.",""
528,"Bahasa Inggris","sedang","Apa bentuk past tense dari buy?","Bought","Buyed","Buying","Buys","A","Past tense dari buy adalah bought.",""
529,"Bahasa Inggris","sedang","Kalimat I am a student berarti apa?","Saya adalah seorang siswa","Saya adalah seorang guru","Saya sedang makan","Saya punya buku","A","I am a student berarti saya adalah seorang siswa.",""
530,"Bahasa Inggris","sedang","Kalimat She likes music berarti apa?","Dia perempuan menyukai musik","Dia laki-laki menyukai musik","Mereka menyukai musik","Kami bermain musik","A","She merujuk pada dia perempuan, sehingga kalimat itu berarti dia perempuan menyukai musik.",""
531,"Bahasa Inggris","sedang","Kata kerja bantu yang tepat untuk subjek he pada simple present adalah apa?","Does","Do","Did","Done","A","Dalam simple present, subjek he menggunakan does untuk pertanyaan atau penekanan.",""
532,"Bahasa Inggris","sedang","Kata kerja bantu yang tepat untuk subjek they pada simple present adalah apa?","Do","Does","Did","Done","A","Dalam simple present, subjek they menggunakan do.",""
533,"Bahasa Inggris","sedang","Apa arti kata because?","Karena","Tetapi","Dan","Atau","A","Because berarti karena.",""
534,"Bahasa Inggris","sedang","Apa arti kata although?","Meskipun","Karena","Sebelum","Sesudah","A","Although berarti meskipun.",""
535,"Bahasa Inggris","sedang","Apa arti kata before?","Sebelum","Sesudah","Selama","Karena","A","Before berarti sebelum.",""
536,"Bahasa Inggris","sedang","Apa arti kata after?","Sesudah","Sebelum","Meskipun","Di antara","A","After berarti sesudah.",""
537,"Bahasa Inggris","sedang","Apa arti kata between?","Di antara dua hal","Di atas","Di bawah","Di samping kanan","A","Between berarti di antara dua hal atau pihak.",""
538,"Bahasa Inggris","sedang","Apa arti kata under?","Di bawah","Di atas","Di dalam","Di luar","A","Under berarti di bawah.",""
539,"Bahasa Inggris","sedang","Apa arti kata behind?","Di belakang","Di depan","Di atas","Di dalam","A","Behind berarti di belakang.",""
540,"Bahasa Inggris","sedang","Apa arti kata in front of?","Di depan","Di belakang","Di bawah","Di antara","A","In front of berarti di depan.",""
541,"Bahasa Inggris","sulit","Kalimat We have finished our homework memakai tense apa?","Present perfect","Simple present","Simple past","Future tense","A","Have finished menunjukkan present perfect tense.",""
542,"Bahasa Inggris","sulit","Kalimat They are studying now memakai tense apa?","Present continuous","Simple past","Present perfect","Future perfect","A","Are studying menunjukkan present continuous tense.",""
543,"Bahasa Inggris","sulit","Kalimat I will visit my grandmother tomorrow memakai tense apa?","Simple future","Simple past","Present perfect","Past continuous","A","Will visit menunjukkan simple future tense.",""
544,"Bahasa Inggris","sulit","Kalimat She was reading when I arrived memakai tense apa pada bagian was reading?","Past continuous","Simple present","Future tense","Present perfect","A","Was reading menunjukkan past continuous tense.",""
545,"Bahasa Inggris","sulit","Apa arti idiom a piece of cake?","Sangat mudah","Sangat mahal","Sangat jauh","Sangat lambat","A","A piece of cake adalah idiom yang berarti sesuatu sangat mudah.",""
546,"Bahasa Inggris","sulit","Apa arti idiom break the ice?","Mencairkan suasana","Memecahkan es sungguhan","Mengakhiri rapat","Membuat masalah","A","Break the ice berarti mencairkan suasana agar orang lebih nyaman.",""
547,"Bahasa Inggris","sulit","Apa arti idiom once in a blue moon?","Sangat jarang","Setiap hari","Sangat cepat","Terlalu dekat","A","Once in a blue moon berarti sangat jarang terjadi.",""
548,"Bahasa Inggris","sulit","Apa arti kata reliable?","Dapat dipercaya","Mudah rusak","Sangat jauh","Tidak terlihat","A","Reliable berarti dapat dipercaya atau dapat diandalkan.",""
549,"Bahasa Inggris","sulit","Apa arti kata improve?","Meningkatkan","Menghapus","Menunda","Menyalin","A","Improve berarti meningkatkan atau memperbaiki.",""
550,"Bahasa Inggris","sulit","Apa arti kata opportunity?","Kesempatan","Kesalahan","Kewajiban","Larangan","A","Opportunity berarti kesempatan.",""
551,"Biologi","mudah","Unit terkecil penyusun makhluk hidup disebut apa?","Sel","Organ","Jaringan","Sistem organ","A","Sel adalah unit terkecil penyusun makhluk hidup.",""
552,"Biologi","mudah","Kumpulan sel yang memiliki bentuk dan fungsi sama disebut apa?","Jaringan","Organ","Individu","Populasi","A","Jaringan adalah kumpulan sel yang memiliki fungsi serupa.",""
553,"Biologi","mudah","Kumpulan jaringan yang bekerja sama menjalankan fungsi tertentu disebut apa?","Organ","Sel","Populasi","Ekosistem","A","Organ tersusun dari beberapa jaringan yang bekerja sama.",""
554,"Biologi","mudah","Organ utama pernapasan manusia adalah apa?","Paru-paru","Jantung","Lambung","Ginjal","A","Paru-paru adalah organ utama sistem pernapasan manusia.",""
555,"Biologi","mudah","Organ yang memompa darah adalah apa?","Jantung","Otak","Hati","Usus","A","Jantung memompa darah ke seluruh tubuh.",""
556,"Biologi","mudah","Organ pencernaan tempat makanan dikunyah adalah apa?","Mulut","Lambung","Usus halus","Kerongkongan","A","Pencernaan dimulai di mulut melalui proses mengunyah dan bantuan air liur.",""
557,"Biologi","mudah","Organ yang menyerap sari-sari makanan paling banyak adalah apa?","Usus halus","Lambung","Mulut","Kerongkongan","A","Usus halus berperan besar dalam penyerapan sari-sari makanan.",""
558,"Biologi","mudah","Organ yang menyaring darah dan menghasilkan urine adalah apa?","Ginjal","Paru-paru","Lambung","Jantung","A","Ginjal menyaring darah dan menghasilkan urine.",""
559,"Biologi","mudah","Bagian darah yang berfungsi mengangkut oksigen adalah apa?","Sel darah merah","Sel darah putih","Trombosit","Plasma saja","A","Sel darah merah mengandung hemoglobin untuk mengangkut oksigen.",""
560,"Biologi","mudah","Bagian darah yang membantu melawan kuman adalah apa?","Sel darah putih","Sel darah merah","Trombosit","Air liur","A","Sel darah putih membantu sistem kekebalan tubuh melawan kuman.",""
561,"Biologi","mudah","Bagian darah yang membantu pembekuan darah adalah apa?","Trombosit","Sel darah merah","Sel darah putih","Hemoglobin","A","Trombosit membantu proses pembekuan darah saat terjadi luka.",""
562,"Biologi","mudah","Cairan merah yang mengalir dalam pembuluh tubuh disebut apa?","Darah","Getah bening","Air liur","Empedu","A","Darah mengalir dalam pembuluh darah dan membawa berbagai zat penting.",""
563,"Biologi","mudah","Proses bernapas memasukkan udara disebut apa?","Inspirasi","Ekspirasi","Pencernaan","Ekskresi","A","Inspirasi adalah proses menghirup udara ke dalam paru-paru.",""
564,"Biologi","mudah","Proses bernapas mengeluarkan udara disebut apa?","Ekspirasi","Inspirasi","Absorpsi","Fotosintesis","A","Ekspirasi adalah proses mengeluarkan udara dari paru-paru.",""
565,"Biologi","mudah","Zat makanan yang menjadi sumber energi utama adalah apa?","Karbohidrat","Vitamin","Mineral","Air","A","Karbohidrat merupakan sumber energi utama bagi tubuh.",""
566,"Biologi","sedang","Zat makanan yang membantu pertumbuhan dan perbaikan jaringan tubuh adalah apa?","Protein","Karbohidrat","Air","Serat","A","Protein penting untuk pertumbuhan dan perbaikan jaringan tubuh.",""
567,"Biologi","sedang","Vitamin yang banyak dibutuhkan untuk kesehatan mata adalah apa?","Vitamin A","Vitamin C","Vitamin D","Vitamin K","A","Vitamin A berperan penting dalam menjaga kesehatan mata.",""
568,"Biologi","sedang","Vitamin yang membantu daya tahan tubuh dan banyak terdapat pada buah jeruk adalah apa?","Vitamin C","Vitamin A","Vitamin D","Vitamin B12","A","Vitamin C membantu daya tahan tubuh dan banyak terdapat pada buah jeruk.",""
569,"Biologi","sedang","Mineral yang penting untuk tulang dan gigi adalah apa?","Kalsium","Besi","Iodium","Natrium","A","Kalsium penting untuk pembentukan tulang dan gigi.",""
570,"Biologi","sedang","Tumbuhan membuat makanan melalui proses apa?","Fotosintesis","Fermentasi","Respirasi","Pembekuan","A","Fotosintesis adalah proses tumbuhan membuat makanan dengan bantuan cahaya.",""
571,"Biologi","sedang","Tumbuhan menyerap air terutama melalui bagian apa?","Akar","Bunga","Buah","Daun","A","Akar menyerap air dan mineral dari tanah.",""
572,"Biologi","sedang","Bagian tumbuhan yang berfungsi sebagai tempat fotosintesis utama adalah apa?","Daun","Akar","Bunga","Biji","A","Daun mengandung klorofil yang membantu fotosintesis.",""
573,"Biologi","sedang","Bagian bunga yang menghasilkan serbuk sari disebut apa?","Benang sari","Putik","Mahkota","Kelopak","A","Benang sari adalah alat kelamin jantan pada bunga yang menghasilkan serbuk sari.",""
574,"Biologi","sedang","Bagian bunga yang menjadi alat kelamin betina disebut apa?","Putik","Benang sari","Kelopak","Tangkai","A","Putik adalah alat kelamin betina pada bunga.",""
575,"Biologi","sedang","Hewan yang bertelur disebut apa?","Ovipar","Vivipar","Omnivora","Mamalia saja","A","Ovipar adalah hewan yang berkembang biak dengan bertelur.",""
576,"Biologi","sedang","Hewan yang melahirkan disebut apa?","Vivipar","Ovipar","Ovovivipar","Herbivora","A","Vivipar adalah hewan yang berkembang biak dengan melahirkan.",""
577,"Biologi","sedang","Hewan yang bertelur dan melahirkan disebut apa?","Ovovivipar","Ovipar","Vivipar","Karnivora","A","Ovovivipar adalah perkembangbiakan dengan telur yang menetas di dalam tubuh induk.",""
578,"Biologi","sedang","Metamorfosis kupu-kupu dimulai dari tahap apa?","Telur","Ulat dewasa","Kepompong","Kupu-kupu dewasa","A","Siklus hidup kupu-kupu dimulai dari telur.",""
579,"Biologi","sedang","Tahap setelah ulat pada metamorfosis kupu-kupu adalah apa?","Kepompong","Telur","Kupu-kupu","Nimfa","A","Setelah menjadi ulat, kupu-kupu masuk tahap kepompong.",""
580,"Biologi","sedang","Metamorfosis belalang termasuk jenis apa?","Tidak sempurna","Sempurna","Buatan","Tanpa perubahan","A","Belalang mengalami metamorfosis tidak sempurna karena tidak melalui tahap pupa.",""
581,"Biologi","sulit","Pewarisan sifat dari induk kepada keturunan dipelajari dalam cabang apa?","Genetika","Ekologi","Anatomi","Geologi","A","Genetika mempelajari pewarisan sifat pada makhluk hidup.",""
582,"Biologi","sulit","Materi genetik yang membawa informasi keturunan disebut apa?","DNA","ATP","H2O","CO2","A","DNA menyimpan informasi genetik makhluk hidup.",""
583,"Biologi","sulit","Proses pembelahan sel untuk pertumbuhan disebut apa?","Mitosis","Meiosis","Fotosintesis","Fermentasi","A","Mitosis menghasilkan sel baru untuk pertumbuhan dan perbaikan jaringan.",""
584,"Biologi","sulit","Pembelahan sel yang menghasilkan sel kelamin disebut apa?","Meiosis","Mitosis","Respirasi","Osmosis","A","Meiosis menghasilkan sel kelamin dengan jumlah kromosom setengah.",""
585,"Biologi","sulit","Perpindahan air melalui membran semipermeabel disebut apa?","Osmosis","Difusi","Evaporasi","Kondensasi","A","Osmosis adalah perpindahan air melalui membran semipermeabel.",""
586,"Biologi","sulit","Perpindahan zat dari konsentrasi tinggi ke rendah disebut apa?","Difusi","Osmosis","Transpirasi","Presipitasi","A","Difusi adalah perpindahan zat dari konsentrasi tinggi ke konsentrasi rendah.",""
587,"Biologi","sulit","Penguapan air dari permukaan daun disebut apa?","Transpirasi","Evaporasi","Kondensasi","Presipitasi","A","Transpirasi adalah penguapan air dari permukaan tumbuhan, terutama daun.",""
588,"Biologi","sulit","Hubungan dua makhluk hidup yang saling menguntungkan disebut apa?","Mutualisme","Parasitisme","Komensalisme","Predasi","A","Mutualisme adalah simbiosis yang menguntungkan kedua pihak.",""
589,"Biologi","sulit","Hubungan makhluk hidup ketika satu untung dan satu rugi disebut apa?","Parasitisme","Mutualisme","Komensalisme","Netralisme","A","Parasitisme menguntungkan satu pihak dan merugikan pihak lain.",""
590,"Biologi","sulit","Hubungan ketika satu pihak untung dan pihak lain tidak dirugikan disebut apa?","Komensalisme","Parasitisme","Mutualisme","Predasi","A","Komensalisme menguntungkan satu pihak tanpa merugikan pihak lain.",""
591,"Biologi","sulit","Ilmu yang mempelajari hubungan makhluk hidup dengan lingkungannya disebut apa?","Ekologi","Genetika","Astronomi","Kimia","A","Ekologi mempelajari interaksi makhluk hidup dan lingkungannya.",""
592,"Biologi","sulit","Makhluk hidup yang memakan produsen secara langsung disebut konsumen tingkat berapa?","Konsumen tingkat I","Konsumen tingkat II","Konsumen tingkat III","Pengurai","A","Konsumen tingkat I memakan produsen seperti tumbuhan.",""
593,"Biologi","sulit","Kloroplas pada sel tumbuhan berfungsi untuk apa?","Tempat fotosintesis","Mengatur gerak otot","Mencerna makanan","Mengangkut darah","A","Kloroplas mengandung klorofil dan menjadi tempat fotosintesis.",""
594,"Biologi","sulit","Dinding sel pada tumbuhan banyak tersusun dari apa?","Selulosa","Protein hewani","Lemak jenuh","Hemoglobin","A","Dinding sel tumbuhan tersusun terutama dari selulosa.",""
595,"Biologi","sulit","Bagian sel yang mengatur aktivitas sel adalah apa?","Inti sel","Dinding sel","Vakuola","Kloroplas","A","Inti sel atau nukleus mengatur aktivitas sel dan menyimpan materi genetik.",""
596,"Biologi","sulit","Mitokondria sering disebut sebagai apa?","Pembangkit energi sel","Pelindung luar tubuh","Tempat menyimpan air saja","Alat gerak sel saja","A","Mitokondria menghasilkan energi melalui respirasi sel.",""
597,"Biologi","sulit","Cairan di dalam sel tempat organel berada disebut apa?","Sitoplasma","Plasma darah","Klorofil","Empedu","A","Sitoplasma adalah cairan sel tempat organel berada.",""
598,"Biologi","sulit","Organisme bersel satu disebut apa?","Uniseluler","Multiseluler","Vertebrata","Mamalia","A","Uniseluler berarti tersusun dari satu sel.",""
599,"Biologi","sulit","Organisme bersel banyak disebut apa?","Multiseluler","Uniseluler","Prokariot saja","Virus saja","A","Multiseluler berarti tersusun dari banyak sel.",""
600,"Biologi","sulit","Hewan bertulang belakang disebut apa?","Vertebrata","Invertebrata","Protozoa","Alga","A","Vertebrata adalah hewan yang memiliki tulang belakang.",""
601,"Ekonomi","mudah","Kegiatan menghasilkan barang atau jasa disebut apa?","Produksi","Konsumsi","Distribusi","Promosi","A","Produksi adalah kegiatan menghasilkan barang atau jasa.",""
602,"Ekonomi","mudah","Kegiatan menggunakan barang atau jasa disebut apa?","Konsumsi","Produksi","Distribusi","Investasi","A","Konsumsi adalah kegiatan menggunakan barang atau jasa untuk memenuhi kebutuhan.",""
603,"Ekonomi","mudah","Kegiatan menyalurkan barang dari produsen ke konsumen disebut apa?","Distribusi","Produksi","Konsumsi","Tabungan","A","Distribusi menyalurkan barang atau jasa dari produsen ke konsumen.",""
604,"Ekonomi","mudah","Orang yang menghasilkan barang atau jasa disebut apa?","Produsen","Konsumen","Distributor","Pembeli akhir","A","Produsen adalah pihak yang membuat atau menyediakan barang dan jasa.",""
605,"Ekonomi","mudah","Orang yang menggunakan barang atau jasa disebut apa?","Konsumen","Produsen","Distributor","Pemasok","A","Konsumen adalah pihak yang menggunakan barang atau jasa.",""
606,"Ekonomi","mudah","Tempat bertemunya penjual dan pembeli disebut apa?","Pasar","Gudang","Pabrik","Bank","A","Pasar adalah tempat atau mekanisme bertemunya penjual dan pembeli.",""
607,"Ekonomi","mudah","Alat pembayaran resmi suatu negara disebut apa?","Uang","Barang","Kupon","Kartu nama","A","Uang adalah alat pembayaran yang diterima secara umum.",""
608,"Ekonomi","mudah","Menyisihkan sebagian uang untuk masa depan disebut apa?","Menabung","Berutang","Berbelanja","Membuang","A","Menabung berarti menyimpan sebagian uang untuk kebutuhan mendatang.",""
609,"Ekonomi","mudah","Kebutuhan yang harus dipenuhi untuk bertahan hidup disebut apa?","Kebutuhan primer","Kebutuhan tersier","Keinginan mewah","Hobi","A","Kebutuhan primer adalah kebutuhan dasar seperti makanan, pakaian, dan tempat tinggal.",""
610,"Ekonomi","mudah","Contoh kebutuhan primer adalah apa?","Makanan","Perhiasan mahal","Mobil sport","Liburan mewah","A","Makanan termasuk kebutuhan primer karena diperlukan untuk hidup.",""
611,"Ekonomi","mudah","Kebutuhan setelah primer yang menunjang hidup disebut apa?","Kebutuhan sekunder","Kebutuhan primer","Kebutuhan tersier","Kebutuhan palsu","A","Kebutuhan sekunder menunjang kenyamanan setelah kebutuhan primer terpenuhi.",""
612,"Ekonomi","mudah","Kebutuhan mewah disebut juga apa?","Kebutuhan tersier","Kebutuhan primer","Kebutuhan pokok","Kebutuhan wajib","A","Kebutuhan tersier adalah kebutuhan yang bersifat mewah.",""
613,"Ekonomi","mudah","Uang kertas dan uang logam disebut uang apa?","Uang kartal","Uang giral","Uang elektronik","Uang asing","A","Uang kartal adalah uang yang berwujud fisik seperti kertas dan logam.",""
614,"Ekonomi","mudah","Uang yang tersimpan di rekening dan digunakan lewat cek atau transfer disebut apa?","Uang giral","Uang kartal","Uang mainan","Uang rusak","A","Uang giral berada dalam rekening dan dapat dipakai melalui instrumen pembayaran.",""
615,"Ekonomi","mudah","Kegiatan menawarkan produk agar dikenal disebut apa?","Promosi","Produksi","Konsumsi","Depresiasi","A","Promosi dilakukan untuk mengenalkan dan menarik minat pembeli.",""
616,"Ekonomi","sedang","Permintaan adalah jumlah barang yang ingin dibeli pada tingkat apa?","Harga tertentu","Warna tertentu saja","Ukuran ruangan","Jumlah pegawai","A","Permintaan menunjukkan jumlah barang yang ingin dan mampu dibeli pada harga tertentu.",""
617,"Ekonomi","sedang","Penawaran adalah jumlah barang yang ingin dijual pada tingkat apa?","Harga tertentu","Cuaca tertentu saja","Warna tertentu","Ukuran meja","A","Penawaran menunjukkan jumlah barang yang ingin dijual pada harga tertentu.",""
618,"Ekonomi","sedang","Jika harga naik dan faktor lain tetap, permintaan biasanya bagaimana?","Menurun","Naik terus","Tidak mungkin berubah","Menjadi nol selalu","A","Menurut hukum permintaan, harga naik cenderung membuat jumlah yang diminta menurun.",""
619,"Ekonomi","sedang","Jika harga naik dan faktor lain tetap, penawaran biasanya bagaimana?","Meningkat","Menurun selalu","Hilang","Tetap nol","A","Menurut hukum penawaran, harga naik cenderung membuat jumlah yang ditawarkan meningkat.",""
620,"Ekonomi","sedang","Harga saat jumlah permintaan dan penawaran seimbang disebut apa?","Harga keseimbangan","Harga rugi","Harga paksaan","Harga rahasia","A","Harga keseimbangan terjadi ketika permintaan dan penawaran bertemu.",""
621,"Ekonomi","sedang","Selisih antara pendapatan dan biaya jika positif disebut apa?","Laba","Rugi","Utang","Pajak","A","Laba terjadi ketika pendapatan lebih besar daripada biaya.",""
622,"Ekonomi","sedang","Kondisi ketika biaya lebih besar daripada pendapatan disebut apa?","Rugi","Laba","Modal","Diskon","A","Rugi terjadi ketika biaya melebihi pendapatan.",""
623,"Ekonomi","sedang","Dana awal untuk menjalankan usaha disebut apa?","Modal","Laba","Rugi","Promosi","A","Modal adalah dana atau sumber daya awal untuk memulai usaha.",""
624,"Ekonomi","sedang","Potongan harga disebut apa?","Diskon","Inflasi","Modal","Pajak","A","Diskon adalah pengurangan harga dari harga awal.",""
625,"Ekonomi","sedang","Kenaikan harga barang secara umum dan terus-menerus disebut apa?","Inflasi","Deflasi","Diskon","Laba","A","Inflasi adalah kenaikan harga secara umum dan berkelanjutan.",""
626,"Ekonomi","sedang","Penurunan harga barang secara umum disebut apa?","Deflasi","Inflasi","Investasi","Produksi","A","Deflasi adalah penurunan harga barang secara umum.",""
627,"Ekonomi","sedang","Pungutan wajib dari rakyat kepada negara disebut apa?","Pajak","Laba","Utang","Diskon","A","Pajak adalah kontribusi wajib untuk membiayai kebutuhan negara.",""
628,"Ekonomi","sedang","Pihak yang meminjam uang disebut apa?","Debitur","Kreditur","Produsen","Distributor","A","Debitur adalah pihak yang menerima pinjaman atau berutang.",""
629,"Ekonomi","sedang","Pihak yang memberi pinjaman disebut apa?","Kreditur","Debitur","Konsumen","Pembeli","A","Kreditur adalah pihak yang memberikan pinjaman.",""
630,"Ekonomi","sedang","Kegiatan menanamkan modal untuk memperoleh hasil di masa depan disebut apa?","Investasi","Konsumsi","Distribusi","Pemborosan","A","Investasi adalah penanaman modal untuk manfaat atau keuntungan masa depan.",""
631,"Ekonomi","sulit","Biaya yang tidak berubah meski jumlah produksi berubah dalam jangka pendek disebut apa?","Biaya tetap","Biaya variabel","Laba kotor","Harga pasar","A","Biaya tetap tidak langsung berubah mengikuti jumlah produksi dalam jangka pendek.",""
632,"Ekonomi","sulit","Biaya yang berubah mengikuti jumlah produksi disebut apa?","Biaya variabel","Biaya tetap","Pajak tetap","Modal awal","A","Biaya variabel berubah sesuai banyaknya barang yang diproduksi.",""
633,"Ekonomi","sulit","Pendapatan dikurangi harga pokok penjualan disebut apa?","Laba kotor","Laba bersih","Utang usaha","Modal kerja","A","Laba kotor diperoleh dari penjualan dikurangi harga pokok penjualan.",""
634,"Ekonomi","sulit","Laba setelah dikurangi semua biaya disebut apa?","Laba bersih","Laba kotor","Omzet","Modal awal","A","Laba bersih adalah keuntungan setelah seluruh biaya diperhitungkan.",""
635,"Ekonomi","sulit","Total nilai penjualan sebelum dikurangi biaya disebut apa?","Omzet","Laba bersih","Rugi bersih","Pajak final","A","Omzet adalah total penjualan atau pendapatan kotor usaha.",""
636,"Ekonomi","sulit","Aset adalah apa?","Sumber daya bernilai milik seseorang atau perusahaan","Kewajiban membayar saja","Kerugian usaha","Potongan harga","A","Aset adalah sumber daya bernilai yang dimiliki dan dapat memberi manfaat ekonomi.",""
637,"Ekonomi","sulit","Liabilitas adalah apa?","Kewajiban atau utang","Harta bersih","Diskon pelanggan","Pendapatan tunai","A","Liabilitas adalah kewajiban yang harus dibayar atau diselesaikan.",""
638,"Ekonomi","sulit","Ekuitas secara sederhana berarti apa?","Hak pemilik atas aset setelah dikurangi kewajiban","Total utang tanpa aset","Harga jual produk","Biaya promosi","A","Ekuitas adalah nilai hak pemilik setelah aset dikurangi liabilitas.",""
639,"Ekonomi","sulit","Prinsip ekonomi berarti berusaha mencapai hasil tertentu dengan apa?","Pengorbanan sekecil mungkin","Biaya sebesar mungkin","Waktu terlama","Sumber daya tanpa batas","A","Prinsip ekonomi menekankan efisiensi dalam menggunakan sumber daya.",""
640,"Ekonomi","sulit","Kelangkaan dalam ekonomi terjadi karena apa?","Kebutuhan tidak terbatas sedangkan sumber daya terbatas","Semua barang gratis","Tidak ada kebutuhan","Semua orang kaya","A","Kelangkaan muncul karena sumber daya terbatas sementara kebutuhan manusia beragam dan terus bertambah.",""
641,"Ekonomi","sulit","Biaya peluang adalah apa?","Nilai pilihan terbaik yang dikorbankan","Semua biaya yang dibayar tunai","Harga barang termurah","Diskon terbesar","A","Biaya peluang adalah nilai alternatif terbaik yang ditinggalkan saat memilih sesuatu.",""
642,"Ekonomi","sulit","Ekspor berarti apa?","Menjual barang ke luar negeri","Membeli barang dari luar negeri","Menyimpan barang di gudang","Membayar pajak lokal","A","Ekspor adalah kegiatan menjual barang atau jasa ke luar negeri.",""
643,"Ekonomi","sulit","Impor berarti apa?","Membeli barang dari luar negeri","Menjual barang ke luar negeri","Menukar barang rusak","Menyumbang barang","A","Impor adalah kegiatan membeli barang atau jasa dari luar negeri.",""
644,"Ekonomi","sulit","Surplus perdagangan terjadi ketika apa?","Ekspor lebih besar daripada impor","Impor lebih besar daripada ekspor","Tidak ada transaksi","Harga selalu turun","A","Surplus perdagangan terjadi ketika nilai ekspor melebihi nilai impor.",""
645,"Ekonomi","sulit","Defisit perdagangan terjadi ketika apa?","Impor lebih besar daripada ekspor","Ekspor lebih besar daripada impor","Semua barang diproduksi lokal","Tidak ada permintaan","A","Defisit perdagangan terjadi ketika nilai impor melebihi ekspor.",""
646,"Ekonomi","sulit","Koperasi berasaskan apa?","Kekeluargaan","Persaingan bebas mutlak","Monopoli pribadi","Keuntungan satu orang","A","Koperasi Indonesia berasaskan kekeluargaan.",""
