id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
868,"Astronomi","sedang","Gerhana Matahari terjadi saat apa berada di antara Bumi dan Matahari?","Bulan","Mars","Jupiter","Saturnus","A","Gerhana Matahari terjadi ketika Bulan berada di antara Bumi dan Matahari.",""
869,"Astronomi","sedang","Gerhana Bulan terjadi saat apa berada di antara Matahari dan Bulan?","Bumi","Mars","Venus","Merkurius","A","Gerhana Bulan terjadi ketika Bumi berada di antara Matahari dan Bulan.",""
870,"Astronomi","sedang","Fase Bulan saat seluruh bagian terang tampak dari Bumi disebut apa?","Purnama","Sabit","Baru","Separuh gelap","A","Bulan purnama terjadi ketika sisi Bulan yang menghadap Bumi tampak terang penuh.",""
871,"Astronomi","sedang","Fase Bulan saat Bulan hampir tidak tampak disebut apa?","Bulan baru","Purnama","Cembung","Separuh","A","Bulan baru terjadi saat sisi terang Bulan tidak menghadap Bumi.",""
872,"Astronomi","sedang","Planet yang paling panas di tata surya adalah apa?","Venus","Merkurius","Mars","Neptunus","A","Venus sangat panas karena atmosfer tebalnya menahan panas.",""
873,"Astronomi","sedang","Planet terjauh dari Matahari dalam daftar delapan planet adalah apa?","Neptunus","Uranus","Saturnus","Jupiter","A","Neptunus adalah planet terjauh dari Matahari dalam delapan planet utama.",""
874,"Astronomi","sedang","Planet yang sumbu rotasinya sangat miring hingga tampak berguling adalah apa?","Uranus","Mars","Bumi","Venus","A","Uranus memiliki kemiringan sumbu rotasi yang sangat besar.",""
875,"Astronomi","sedang","Sabuk asteroid utama berada di antara orbit planet apa?","Mars dan Jupiter","Bumi dan Mars","Venus dan Bumi","Saturnus dan Uranus","A","Sabuk asteroid utama berada di antara orbit Mars dan Jupiter.",""
876,"Astronomi","sedang","Pluto saat ini diklasifikasikan sebagai apa?","Planet katai","Planet utama","Bintang kecil","Satelit Bumi","A","Pluto diklasifikasikan sebagai planet katai.",""
877,"Astronomi","sedang","Asteroid adalah benda langit yang umumnya tersusun dari apa?","Batuan dan logam","Air murni","Gas saja","Cahaya saja","A","Asteroid umumnya tersusun dari batuan dan logam.",""
878,"Astronomi","sedang","Cahaya Matahari sampai ke Bumi kira-kira membutuhkan waktu berapa?","8 menit","1 detik","1 jam","1 hari","A","Cahaya Matahari membutuhkan sekitar 8 menit untuk mencapai Bumi.",""
879,"Astronomi","sedang","Satuan jarak yang sering dipakai untuk benda langit jauh adalah apa?","Tahun cahaya","Kilogram","Liter","Derajat Celsius","A","Tahun cahaya adalah jarak yang ditempuh cahaya dalam satu tahun.",""
880,"Astronomi","sedang","Alat untuk mengamati benda langit jauh disebut apa?","Teleskop","Mikroskop","Termometer","Barometer","A","Teleskop digunakan untuk mengamati benda langit yang jauh.",""
881,"Astronomi","sulit","Matahari terutama tersusun dari gas apa?","Hidrogen dan helium","Oksigen dan nitrogen","Karbon dan besi","Natrium dan klorin","A","Matahari terutama tersusun dari hidrogen dan helium.",""
882,"Astronomi","sulit","Energi Matahari dihasilkan melalui proses apa?","Fusi nuklir","Pembakaran kayu","Fotosintesis","Penguapan air","A","Energi Matahari berasal dari fusi nuklir hidrogen menjadi helium di intinya.",""
883,"Astronomi","sulit","Lapisan terluar atmosfer Matahari yang tampak saat gerhana total disebut apa?","Korona","Inti","Fotosfer saja","Kromosfer saja","A","Korona adalah lapisan luar atmosfer Matahari yang tampak jelas saat gerhana Matahari total.",""
884,"Astronomi","sulit","Bintik Matahari disebut apa dalam bahasa ilmiah umum?","Sunspot","Moonspot","Starline","Comet tail","A","Sunspot adalah daerah lebih gelap pada permukaan Matahari yang berkaitan dengan aktivitas magnetik.",""
885,"Astronomi","sulit","Bintang yang tampak paling terang di langit malam adalah apa?","Sirius","Polaris","Betelgeuse","Vega","A","Sirius dikenal sebagai bintang paling terang di langit malam.",""
886,"Astronomi","sulit","Bintang Utara yang sering dipakai untuk navigasi adalah apa?","Polaris","Sirius","Vega","Rigel","A","Polaris terletak dekat kutub langit utara sehingga berguna untuk navigasi.",""
887,"Astronomi","sulit","Rasi bintang adalah apa?","Pola bintang yang tampak membentuk gambar tertentu","Kumpulan planet dalam satu orbit","Cincin Saturnus","Kabut atmosfer","A","Rasi bintang adalah pola bintang yang diberi nama dan bentuk tertentu oleh pengamat.",""
888,"Astronomi","sulit","Lubang hitam memiliki gravitasi yang bagaimana?","Sangat kuat","Sangat lemah","Tidak ada","Sama seperti debu","A","Lubang hitam memiliki gravitasi sangat kuat hingga cahaya pun sulit lolos dari wilayah tertentu.",""
889,"Astronomi","sulit","Ledakan besar pada akhir hidup bintang masif disebut apa?","Supernova","Aurora","Gerhana","Komet","A","Supernova adalah ledakan dahsyat yang dapat terjadi pada akhir hidup bintang masif.",""
890,"Astronomi","sulit","Kabut gas dan debu antarbintang disebut apa?","Nebula","Meteor","Asteroid","Planet katai","A","Nebula adalah awan gas dan debu di ruang antarbintang.",""
891,"Astronomi","sulit","Aurora terjadi karena interaksi partikel Matahari dengan apa?","Medan magnet dan atmosfer Bumi","Air laut","Lapisan tanah","Inti Bulan","A","Aurora muncul saat partikel bermuatan dari Matahari berinteraksi dengan medan magnet dan atmosfer Bumi.",""
892,"Astronomi","sulit","Pasang surut laut terutama dipengaruhi oleh gravitasi apa?","Bulan","Mars","Jupiter saja","Asteroid","A","Gravitasi Bulan merupakan faktor utama pasang surut laut di Bumi.",""
893,"Astronomi","sulit","Eksoplanet adalah planet yang berada di mana?","Di luar tata surya","Di dalam Bulan","Di atmosfer Bumi","Di inti Matahari","A","Eksoplanet adalah planet yang mengorbit bintang selain Matahari.",""
894,"Astronomi","sulit","Zona layak huni sering merujuk pada wilayah yang memungkinkan adanya apa?","Air cair","Emas murni","Cincin planet","Meteor harian","A","Zona layak huni adalah jarak dari bintang yang memungkinkan air cair stabil di permukaan planet tertentu.",""
895,"Astronomi","sulit","Tata surya berada pada salah satu lengan galaksi yang disebut apa?","Lengan Orion","Lengan Andromeda","Lengan Magellan","Lengan Polaris","A","Tata surya berada di wilayah yang sering disebut Lengan Orion atau Orion Arm.",""
896,"Astronomi","sulit","Galaksi Andromeda termasuk jenis galaksi apa?","Spiral","Elips kecil saja","Tidak beraturan","Planet katai","A","Andromeda adalah galaksi spiral besar yang dekat dengan Bimasakti.",""
